match_id,avg_rating_home,weighted_rating_home,xG_from_players_home,goal_contrib_home,avg_rating_away,weighted_rating_away,xG_from_players_away,goal_contrib_away,match_date,team_home_id,homeTeam_name,team_away_id,awayTeam_name,home_goals,away_goals,possession_home,possession_away,passes_home,passes_away,accuratePasses_home,accuratePasses_away,dribblesPct_home,dribblesPct_away,duelWonPct_home,duelWonPct_away,interceptions_home,interceptions_away,blocks_home,blocks_away,clearances_home,clearances_away,corners_home,corners_away,fouls_home,fouls_away,offsides_home,offsides_away,xG_home,xG_away,result,elo_home,elo_away,elo_diff
12653696,5.021739130434783,7.427783251231528,3.26,3.0,4.378260869565217,6.731956735496558,0.71,0.0,2024-08-18,64299,Bali United FC,86066,Semen Padang FC,2.0,0.0,58.0,42.0,402.0,270.0,339.0,208.0,22.0,11.0,42.0,29.0,15.0,19.0,9.0,1.0,11.0,23.0,7.0,0.0,16.0,14.0,0.0,2.0,3.269374,0.712265,H,1515.0,1485.0,30.0
12651010,4.813636363636364,6.636105860113423,0.77,0.0,4.391304347826087,7.21965317919075,2.43,4.0,2024-08-19,204733,PSS Sleman,135866,Persik Kediri,0.0,2.0,46.0,54.0,304.0,335.0,236.0,275.0,7.0,16.0,35.0,36.0,10.0,15.0,1.0,2.0,19.0,19.0,5.0,2.0,15.0,15.0,2.0,0.0,0.76862,2.42709,A,1485.0,1485.0,0.0
12651009,4.3590909090909085,6.9344488188976365,2.91,4.0,4.849999999999999,6.733365664403493,0.96,3.0,2024-08-19,383891,Dewa United FC,64289,Persib Bandung,2.0,2.0,63.0,37.0,548.0,331.0,475.0,252.0,9.0,3.0,39.0,29.0,11.0,1.0,2.0,1.0,7.0,4.0,6.0,3.0,8.0,10.0,2.0,1.0,2.915,0.957805,D,1500.0,1515.0,-15.0
12651012,4.500000000000001,7.002470355731225,0.86,1.0,4.708695652173914,6.871960784313725,0.98,0.0,2024-08-23,189471,PSIS Semarang,266861,PSBS Biak,1.0,0.0,45.0,55.0,333.0,397.0,244.0,312.0,11.0,12.0,34.0,29.0,19.0,15.0,4.0,6.0,23.0,6.0,3.0,6.0,4.0,12.0,1.0,3.0,0.863843,0.9737797,H,1500.0,1485.0,15.0
12651013,4.884999999999999,7.046003898635478,3.52,2.0,4.463636363636364,6.670816326530613,0.28,2.0,2024-08-23,76319,Persebaya Surabaya,86542,PS Barito Putera,2.0,1.0,58.0,42.0,402.0,266.0,335.0,210.0,13.0,9.0,39.0,31.0,11.0,10.0,4.0,3.0,14.0,16.0,4.0,3.0,16.0,11.0,0.0,0.0,3.5095530000000004,0.2830357,H,1514.3528000084657,1500.6471999915343,13.705600016931385
12651017,4.647826086956521,6.790566037735849,0.47,0.0,4.786956521739131,7.012857142857142,0.58,2.0,2024-08-24,86578,Madura United FC,86576,Persita Tangerang,0.0,1.0,49.0,51.0,342.0,359.0,280.0,306.0,22.0,21.0,34.0,35.0,9.0,17.0,1.0,2.0,8.0,23.0,4.0,2.0,15.0,12.0,0.0,2.0,0.480811,0.569438,A,1484.3528000084657,1515.0,-30.647199991534308
12651011,4.718181818181818,7.037440758293838,1.95,2.0,4.913636363636365,6.817460317460317,2.35,1.0,2024-08-24,64295,Persija Jakarta,200020,Persis Solo,2.0,1.0,55.0,45.0,449.0,297.0,370.0,227.0,11.0,17.0,37.0,43.0,12.0,17.0,2.0,4.0,9.0,7.0,3.0,6.0,11.0,10.0,1.0,3.0,1.954553,2.351346,H,1515.0,1470.0,45.0
12651014,4.804347826086955,7.0007633587786255,1.23,0.0,4.7565217391304335,6.939904306220096,0.42,0.0,2024-08-25,135866,Persik Kediri,491968,Malut United FC,0.0,0.0,60.0,40.0,482.0,304.0,414.0,228.0,10.0,12.0,37.0,37.0,14.0,16.0,1.0,1.0,5.0,15.0,4.0,2.0,13.0,9.0,0.0,0.0,1.23534,0.4213947,D,1500.0,1500.6471999915343,-0.6471999915343076
12651016,4.126086956521739,6.789233753637246,1.21,2.0,4.143478260869566,6.870667957405614,0.8800000000000001,2.0,2024-08-25,64289,Persib Bandung,47465,Arema FC,1.0,1.0,56.0,44.0,370.0,234.0,299.0,168.0,22.0,19.0,37.0,36.0,12.0,17.0,7.0,0.0,7.0,14.0,5.0,5.0,15.0,13.0,4.0,2.0,1.226357,0.878575,D,1514.3528000084657,1485.6471999915343,28.705600016931385
12651020,4.221739130434783,7.003085824493732,1.15,1.0,5.515,6.9450888681010285,1.67,0.0,2024-08-26,86066,Semen Padang FC,204733,PSS Sleman,1.0,0.0,36.0,64.0,187.0,487.0,134.0,405.0,10.0,14.0,34.0,41.0,19.0,10.0,2.0,3.0,19.0,4.0,3.0,5.0,11.0,15.0,3.0,5.0,1.155918,1.660725,H,1471.2919947606663,1470.0,1.2919947606662845
