,match_id,match_date,homeTeam_name,awayTeam_name,pi_rating_home,pi_rating_away,possession_home_last3_mean,possession_away_last3_mean,xG_home_last3_mean,xG_away_last3_mean,goal_contrib_home_last3_mean,goal_contrib_away_last3_mean,interceptions_home_last3_mean,interceptions_away_last3_mean,passes_home_last3_mean,passes_away_last3_mean,dribblesPct_home_last3_mean,dribblesPct_away_last3_mean,corners_home_last3_mean,corners_away_last3_mean,avg_rating_home_last3_mean,avg_rating_away_last3_mean,weighted_rating_home_last3_mean,weighted_rating_away_last3_mean
24,12651018,2024-08-26,PSM Makassar,Dewa United FC,0.11538461538461539,0.01079136690647482,45.0,58.0,2.228093,1.2374809,5.0,0.0,21.0,15.0,303.0,398.0,13.0,17.0,10.0,4.0,4.960869565217392,4.449999999999999,7.270936902485659,7.069794721407624
25,12651015,2024-08-27,Borneo FC Samarinda,Bali United FC,0.1975103734439834,0.1966386554621849,0.0,37.0,0.0,0.958313,0.0,4.0,0.0,24.0,0.0,233.0,0.0,17.0,0.0,5.0,0.0,4.791304347826087,0.0,6.941586998087954
27,12651019,2024-09-11,Bali United FC,Arema FC,0.09586176312252422,-0.07503429646953727,58.0,44.0,3.269374,0.878575,3.0,2.0,15.0,17.0,402.0,234.0,22.0,19.0,7.0,5.0,5.021739130434783,4.143478260869566,7.427783251231528,6.870667957405614
26,12651021,2024-09-11,Dewa United FC,PSIS Semarang,-0.08650683304515536,0.06531669662963346,63.0,43.0,2.915,0.04751,4.0,1.0,11.0,23.0,548.0,333.0,9.0,15.0,6.0,2.0,4.3590909090909085,4.226086956521739,6.9344488188976365,6.96409756097561
28,12651024,2024-09-11,PSM Makassar,Persib Bandung,0.21268281533624556,0.08211717150369446,40.5,37.0,2.180812,0.957805,5.5,3.0,20.5,1.0,266.5,331.0,17.0,3.0,6.5,3.0,4.8326086956521745,4.849999999999999,7.247848489630546,6.733365664403493
30,12651027,2024-09-12,PSBS Biak,Persija Jakarta,-0.18215857327386906,0.1668715101156689,0.0,71.0,0.0,0.662982,0.0,0.0,0.0,15.0,0.0,654.0,0.0,21.0,0.0,8.0,0.0,4.643478260869567,0.0,7.208173076923077
29,12651023,2024-09-12,PSS Sleman,Borneo FC Samarinda,-0.24456916644294122,0.29828726578364406,46.0,62.5,0.76862,0.903556,0.0,4.5,10.0,18.5,304.0,514.0,7.0,15.0,5.0,5.0,4.813636363636364,4.980844155844156,6.636105860113423,7.235064603876232
31,12653691,2024-09-13,Malut United FC,Semen Padang FC,0.0013943665407855571,-0.12395208995973336,41.0,42.0,2.197031,0.712265,0.0,0.0,18.0,19.0,308.0,270.0,15.0,11.0,6.0,0.0,4.808695652173912,4.378260869565217,6.971414728682172,6.731956735496558
32,12651026,2024-09-14,PS Barito Putera,Persik Kediri,-0.10481222148778718,0.005908978039625857,38.0,54.0,0.666993,2.42709,1.0,4.0,16.0,15.0,325.0,335.0,15.0,16.0,1.0,2.0,4.173913043478263,4.391304347826087,6.932709359605912,7.21965317919075
33,12651022,2024-09-14,Persita Tangerang,Persebaya Surabaya,0.14063480926116773,0.12905971658587162,29.0,59.0,0.151463,1.049267,0.0,0.0,19.0,15.0,234.0,405.0,21.0,17.0,2.0,8.0,4.769565217391304,4.780952380952382,6.96488038277512,7.158162267839687
34,12657423,2024-09-15,PSM Makassar,Arema FC,0.19152805553511817,-0.056543910462377445,43.0,44.0,1.5214860000000001,0.878575,3.6666666666666665,2.0,17.0,17.0,261.6666666666667,234.0,16.333333333333332,19.0,5.666666666666667,5.0,4.610144927536232,4.143478260869566,7.1034943238263315,6.870667957405614
35,12651030,2024-09-15,Persib Bandung,PSIS Semarang,0.10327193130482186,-0.011688707991787738,48.0,47.5,1.3594665,0.8149985,4.5,1.0,14.5,15.0,334.0,343.0,23.5,21.5,4.5,4.0,4.53695652173913,4.423913043478261,7.020676607069105,6.832335861827517
36,12651028,2024-09-16,Bali United FC,PSS Sleman,0.07737137711536438,-0.19567954175877872,58.0,53.5,3.269374,0.9215275,3.0,0.0,15.0,11.0,402.0,385.5,22.0,8.5,7.0,3.5,5.021739130434783,5.4175,7.427783251231528,6.816628403516162
37,12651033,2024-09-16,Persija Jakarta,Dewa United FC,0.06174785151691666,-0.009501428423734155,56.0,61.0,2.0055815,1.1542199499999999,3.0,0.5,12.5,15.0,499.5,433.5,9.5,15.0,4.0,6.0,4.809090909090909,4.563095238095238,7.109354384910608,6.795192880246234
38,12651031,2024-09-17,PSBS Biak,Madura United FC,-0.07703491467511683,-0.1399764367089652,46.0,62.0,1.082385,1.6644690000000002,4.0,0.0,20.0,17.0,304.0,519.0,27.0,12.0,5.0,2.0,5.127272727272727,4.504347826086957,7.149566055930569,6.909784735812133
39,12651032,2024-09-17,Borneo FC Samarinda,Malut United FC,0.2493976410994816,0.06666660028276321,62.0,40.0,2.3413259,1.3836546500000002,4.0,0.5,20.0,13.0,415.0,293.5,8.0,13.5,5.0,3.5,4.365217391304348,4.693478260869565,7.243317073170733,6.812872507092349
40,12650967,2024-09-18,Semen Padang FC,PS Barito Putera,-0.18922432370171102,-0.09332100281328129,34.5,42.5,1.016043,0.45945235,1.0,1.0,17.0,9.0,251.0,303.5,11.0,9.5,2.5,3.0,4.234782608695653,4.493181818181817,6.751786576964215,6.640953004152481
