match_id,match_date,team_home_id,homeTeam_name,team_away_id,awayTeam_name,home_goals,away_goals,match_id_1,possession_home,possession_away,passes_home,passes_away,accuratePasses_home,accuratePasses_away,dribblesPct_home,dribblesPct_away,duelWonPct_home,duelWonPct_away,interceptions_home,interceptions_away,blocks_home,blocks_away,clearances_home,clearances_away,xG_home,xG_away,corners_home,corners_away,fouls_home,fouls_away,offsides_home,offsides_away,shotmap_xg_home,shotmap_xg_away,match_id_2,avg_rating_home,weighted_rating_home,xG_from_players_home,goal_contrib_home,avg_rating_away,weighted_rating_away,xG_from_players_away,goal_contrib_away,match_id_3,accurate_pass_home,key_pass_home,goals_home,assists_home,xG_home_summary,xA_home,total_pass_home,total_cross_home,defensive_actions_home,accurate_cross_home,accurate_keeper_sweeper_home,accurate_long_balls_home,aerial_duel_home,aerial_lost_home,aerial_won_home,blocked_home,challenge_won_home,contest_won_home,dispossessed_home,error_lead_to_a_shot_home,shots_on_target_home,shots_off_target_home,avg_rating_home_summary,duel_won_home,duel_lost_home,total_tackle_home,total_clearance_home,interceptions_home_summary,minutes_played_home,accurate_pass_away,key_pass_away,goals_away,assists_away,xG_away_summary,xA_away,total_pass_away,total_cross_away,defensive_actions_away,accurate_cross_away,accurate_keeper_sweeper_away,accurate_long_balls_away,aerial_duel_away,aerial_lost_away,aerial_won_away,blocked_away,challenge_won_away,contest_won_away,dispossessed_away,error_lead_to_a_shot_away,shots_on_target_away,shots_off_target_away,avg_rating_away_summary,duel_won_away,duel_lost_away,total_tackle_away,total_clearance_away,interceptions_away_summary,minutes_played_away,result
12653992,2025-03-13,47465,Arema FC,86542,PS Barito Putera,4.0,2.0,12653992,45.0,55.0,298.0,383.0,248.0,316.0,10.0,21.0,32.0,44.0,18.0,8.0,2.0,3.0,12.0,4.0,3.09,1.44,3.0,2.0,17.0,19.0,0.0,0.0,3.0906429999999996,1.4377879999999998,12653992,4.2,6.9101202404809614,3.0900000000000003,7,4.6217391304347819,6.6129770992366419,1.44,3,12653992,247,11,4,3,3.0900000000000003,1.46,297,12,33,5,0,31,43,22,21,3,13,9,8,4,8,5,4.2,54,111,3,12,18,998,314,11,2,1,1.44,0.76,381,21,19,11,0,30,41,21,20,2,9,19,2,7,3,9,4.6217391304347819,67,85,7,4,8,1048,H
12657417,2025-03-12,491968,Malut United FC,86576,Persita Tangerang,2.0,1.0,12657417,52.0,48.0,401.0,360.0,342.0,308.0,7.0,4.0,41.0,34.0,6.0,11.0,3.0,2.0,16.0,14.0,0.91,0.4,5.0,2.0,7.0,9.0,1.0,1.0,0.91164100000000015,0.40315699999999993,12657417,4.4695652173913043,6.8601357904946658,0.91000000000000014,3,4.5521739130434788,6.5843570057581582,0.41000000000000003,1,12657417,342,8,2,1,0.91000000000000014,0.62,401,19,29,6,0,17,21,12,9,2,1,6,5,4,4,6,4.4695652173913043,48,68,7,16,6,1031,306,2,1,0,0.41000000000000003,0.11,358,4,26,1,0,29,24,12,12,3,4,4,13,1,2,2,4.5521739130434788,41,78,1,14,11,1042,H
12653985,2025-03-12,76319,Persebaya Surabaya,189471,PSIS Semarang,1.0,1.0,12653985,47.0,53.0,328.0,343.0,266.0,282.0,16.0,11.0,32.0,37.0,17.0,17.0,6.0,4.0,7.0,14.0,3.83,1.06,7.0,3.0,15.0,11.0,1.0,0.0,3.8304770000000006,1.0628372000000001,12653985,4.8428571428571425,6.9067961165048546,3.84,1,5.45,6.8845708775313419,1.06,2,12653985,266,9,1,0,3.84,1.61,328,15,28,4,0,12,25,18,7,3,9,16,5,2,6,6,4.8428571428571425,55,114,4,7,17,1030,282,12,1,1,1.06,1.03,343,7,35,2,0,17,23,6,17,7,14,10,15,3,4,5,5.45,63,103,4,14,17,1037,D
12653990,2025-03-11,64299,Bali United FC,266861,PSBS Biak,0.0,2.0,12653990,44.0,56.0,347.0,353.0,272.0,307.0,4.0,16.0,33.0,42.0,13.0,17.0,5.0,4.0,9.0,21.0,0.95,1.68,8.0,2.0,19.0,9.0,0.0,1.0,0.94961999999999991,1.6840760000000001,12653990,4.3521739130434778,6.6885068762278976,0.97000000000000008,0,5.1727272727272711,7.3004873294346977,1.69,3,12653990,270,8,0,0,0.97000000000000008,0.8600000000000001,345,19,27,6,0,29,22,7,15,4,5,2,3,2,2,5,4.3521739130434778,44,86,5,9,13,1018,307,9,2,1,1.69,0.82,353,8,41,2,0,35,30,19,11,5,0,16,7,2,7,5,5.1727272727272711,65,89,3,21,17,1026,A
12653988,2025-03-11,135866,Persik Kediri,135864,PSM Makassar,2.0,2.0,12653988,56.0,44.0,406.0,342.0,345.0,259.0,13.0,12.0,34.0,33.0,20.0,10.0,2.0,5.0,25.0,5.0,1.87,1.87,6.0,7.0,7.0,8.0,2.0,1.0,1.8740940000000001,1.8706869999999998,12653988,4.4904761904761905,6.7393410852713176,1.87,2,4.6913043478260867,6.7330134357005758,1.8800000000000001,2,12653988,345,5,2,0,1.87,0.29000000000000004,406,4,49,2,0,25,26,10,16,4,11,13,20,5,9,3,4.4904761904761905,56,106,4,25,20,1032,259,10,1,1,1.8800000000000001,0.88000000000000012,342,21,28,7,0,20,26,17,9,3,10,12,10,3,3,7,4.6913043478260867,54,105,13,5,10,1042,D
12653991,2025-03-11,204733,PSS Sleman,200020,Persis Solo,1.0,4.0,12653991,56.0,44.0,396.0,304.0,324.0,243.0,8.0,20.0,37.0,40.0,9.0,5.0,1.0,0.0,11.0,11.0,0.94,1.83,5.0,8.0,19.0,10.0,4.0,3.0,0.93524000000000007,1.825844,12653991,5.175,6.5030985915492963,0.94,1,5.1000000000000005,7.1110481586402265,1.8099999999999998,5,12653991,324,6,1,0,0.94,0.94000000000000006,396,10,23,3,0,29,30,11,19,1,10,8,4,2,2,3,5.175,56,94,3,11,9,1065,242,9,4,1,1.8099999999999998,0.5,303,10,19,3,0,22,29,18,11,0,4,17,5,0,9,9,5.1000000000000005,56,82,3,11,5,1059,A
12653994,2025-03-10,383891,Dewa United FC,189945,Borneo FC Samarinda,0.0,1.0,12653994,64.0,36.0,554.0,233.0,485.0,184.0,25.0,22.0,40.0,38.0,6.0,21.0,5.0,2.0,9.0,29.0,1.46,0.91,6.0,2.0,10.0,13.0,2.0,1.0,1.4626782,0.90863799999999972,12653994,4.9681818181818187,6.9034825870646763,1.47,0,4.3347826086956518,7.2166177908113394,0.91,2,12653994,485,8,0,0,1.47,1.03,554,26,16,7,0,13,20,9,11,2,13,24,13,2,3,7,4.9681818181818187,67,99,1,9,6,1005,184,9,1,1,0.91,0.56,233,8,53,2,0,13,20,10,10,5,17,19,7,0,5,5,4.3347826086956518,57,91,3,29,21,1023,A
12653979,2025-03-10,86066,Semen Padang FC,64289,Persib Bandung,1.0,4.0,12653979,47.0,53.0,325.0,392.0,281.0,345.0,14.0,13.0,37.0,36.0,8.0,15.0,4.0,4.0,21.0,6.0,1.31,2.51,2.0,4.0,6.0,6.0,0.0,3.0,1.3093284,2.50865,12653979,4.4526315789473676,6.4540806293018687,1.31,1,5.0047619047619047,7.0671153846153842,2.4899999999999998,8,12653979,281,8,1,0,1.31,0.41,325,6,35,4,0,22,24,12,12,3,13,14,4,2,3,5,4.4526315789473676,44,72,6,21,8,1017,344,15,4,4,2.4899999999999998,1.5300000000000002,391,16,22,5,0,18,25,17,8,5,8,13,5,5,5,5,5.0047619047619047,42,74,1,6,15,1040,A
12657418,2025-03-09,64295,Persija Jakarta,47465,Arema FC,1.0,3.0,12657418,35.0,65.0,267.0,520.0,202.0,459.0,12.0,19.0,46.0,44.0,16.0,12.0,1.0,5.0,19.0,14.0,0.21,2.43,3.0,7.0,8.0,11.0,2.0,1.0,0.207627,2.4307380000000003,12657418,4.5818181818181811,6.4386694386694376,0.21000000000000002,2,5.034782608695652,7.3651571164510177,2.4299999999999997,3,12657418,202,4,1,1,0.21000000000000002,0.21,266,2,39,2,0,12,37,15,22,5,8,9,4,10,2,1,4.5818181818181811,50,57,4,19,16,962,459,19,2,1,2.4299999999999997,1.27,520,33,30,16,0,26,39,23,16,1,6,18,5,0,12,11,5.034782608695652,57,70,4,14,12,1082,A
12654064,2025-03-08,86542,PS Barito Putera,491968,Malut United FC,1.0,1.0,12654064,63.0,37.0,436.0,242.0,371.0,199.0,10.0,11.0,36.0,34.0,9.0,20.0,3.0,5.0,20.0,14.0,1.29,1.03,3.0,4.0,15.0,7.0,1.0,1.0,1.2862414999999998,1.034297,12654064,4.0826086956521754,6.6644508670520235,1.2900000000000003,2,4.713043478260869,6.8246445497630344,1.03,2,12654064,371,9,1,1,1.2900000000000003,0.47000000000000003,436,10,33,4,0,25,28,13,15,6,12,10,5,5,4,4,4.0826086956521754,44,76,4,20,9,1038,199,9,1,1,1.03,0.6100000000000001,242,7,36,3,0,19,27,16,11,2,7,11,5,2,2,6,4.713043478260869,41,78,2,14,20,1055,D
