match_id,match_date,team_home_id,homeTeam_name,team_away_id,awayTeam_name,home_goals,away_goals,match_id_1,possession_home,possession_away,passes_home,passes_away,accuratePasses_home,accuratePasses_away,dribblesPct_home,dribblesPct_away,duelWonPct_home,duelWonPct_away,interceptions_home,interceptions_away,blocks_home,blocks_away,clearances_home,clearances_away,xG_home,xG_away,corners_home,corners_away,fouls_home,fouls_away,offsides_home,offsides_away,shotmap_xg_home,shotmap_xg_away,avg_rating_home,weighted_rating_home,xG_from_players_home,goal_contrib_home,avg_rating_away,weighted_rating_away,xG_from_players_away,goal_contrib_away,result
12653990,2025-03-11,64299,Bali United FC,266861,PSBS Biak,0.0,2.0,12653990,44.0,56.0,347.0,353.0,272.0,307.0,4.0,16.0,33.0,42.0,13.0,17.0,5.0,4.0,9.0,21.0,0.95,1.68,8.0,2.0,19.0,9.0,0.0,1.0,0.94961999999999991,1.6840760000000001,4.3521739130434778,6.6885068762278976,0.97000000000000008,0,5.1727272727272711,7.3004873294346977,1.69,3,A
12653988,2025-03-11,135866,Persik Kediri,135864,PSM Makassar,2.0,2.0,12653988,56.0,44.0,406.0,342.0,345.0,259.0,13.0,12.0,34.0,33.0,20.0,10.0,2.0,5.0,25.0,5.0,1.87,1.87,6.0,7.0,7.0,8.0,2.0,1.0,1.8740940000000001,1.8706869999999998,4.4904761904761905,6.7393410852713176,1.87,2,4.6913043478260867,6.7330134357005758,1.8800000000000001,2,D
12653991,2025-03-11,204733,PSS Sleman,200020,Persis Solo,1.0,4.0,12653991,56.0,44.0,396.0,304.0,324.0,243.0,8.0,20.0,37.0,40.0,9.0,5.0,1.0,0.0,11.0,11.0,0.94,1.83,5.0,8.0,19.0,10.0,4.0,3.0,0.93524000000000007,1.825844,5.175,6.5030985915492963,0.94,1,5.1000000000000005,7.1110481586402265,1.8099999999999998,5,A
12653994,2025-03-10,383891,Dewa United FC,189945,Borneo FC Samarinda,0.0,1.0,12653994,64.0,36.0,554.0,233.0,485.0,184.0,25.0,22.0,40.0,38.0,6.0,21.0,5.0,2.0,9.0,29.0,1.46,0.91,6.0,2.0,10.0,13.0,2.0,1.0,1.4626782,0.90863799999999972,4.9681818181818187,6.9034825870646763,1.47,0,4.3347826086956518,7.2166177908113394,0.91,2,A
12653979,2025-03-10,86066,Semen Padang FC,64289,Persib Bandung,1.0,4.0,12653979,47.0,53.0,325.0,392.0,281.0,345.0,14.0,13.0,37.0,36.0,8.0,15.0,4.0,4.0,21.0,6.0,1.31,2.51,2.0,4.0,6.0,6.0,0.0,3.0,1.3093284,2.50865,4.4526315789473676,6.4540806293018687,1.31,1,5.0047619047619047,7.0671153846153842,2.4899999999999998,8,A
12657418,2025-03-09,64295,Persija Jakarta,47465,Arema FC,1.0,3.0,12657418,35.0,65.0,267.0,520.0,202.0,459.0,12.0,19.0,46.0,44.0,16.0,12.0,1.0,5.0,19.0,14.0,0.21,2.43,3.0,7.0,8.0,11.0,2.0,1.0,0.207627,2.4307380000000003,4.5818181818181811,6.4386694386694376,0.21000000000000002,2,5.034782608695652,7.3651571164510177,2.4299999999999997,3,A
12654064,2025-03-08,86542,PS Barito Putera,491968,Malut United FC,1.0,1.0,12654064,63.0,37.0,436.0,242.0,371.0,199.0,10.0,11.0,36.0,34.0,9.0,20.0,3.0,5.0,20.0,14.0,1.29,1.03,3.0,4.0,15.0,7.0,1.0,1.0,1.2862414999999998,1.034297,4.0826086956521754,6.6644508670520235,1.2900000000000003,2,4.713043478260869,6.8246445497630344,1.03,2,D
12654058,2025-03-07,135864,PSM Makassar,76319,Persebaya Surabaya,0.0,1.0,12654058,63.0,37.0,411.0,244.0,299.0,163.0,10.0,4.0,41.0,28.0,12.0,24.0,4.0,6.0,6.0,27.0,0.93,1.43,8.0,4.0,9.0,16.0,1.0,2.0,0.928808,1.4259800000000002,4.7826086956521738,6.9248543689320394,0.93000000000000016,0,4.445,6.88813056379822,1.42,2,A
12654065,2025-03-07,86576,Persita Tangerang,204733,PSS Sleman,1.0,2.0,12654065,56.0,44.0,319.0,241.0,263.0,191.0,17.0,7.0,36.0,36.0,6.0,14.0,3.0,2.0,13.0,33.0,1.92,0.61,12.0,2.0,14.0,12.0,1.0,1.0,1.9206519999999998,0.613351,4.7043478260869565,6.8937198067632872,1.9200000000000002,1,5.7894736842105257,6.9674733785091973,0.62000000000000011,4,A
12654057,2025-03-06,266861,PSBS Biak,189945,Borneo FC Samarinda,1.0,0.0,12654057,44.0,56.0,303.0,390.0,239.0,317.0,33.0,17.0,37.0,31.0,12.0,18.0,2.0,3.0,10.0,18.0,1.16,1.17,5.0,1.0,13.0,13.0,1.0,0.0,1.1647750000000001,1.1739810000000002,4.6434782608695651,7.1104406130268192,1.17,2,4.6521739130434776,6.7441882804995208,1.1700000000000002,0,H
12654062,2025-03-06,200020,Persis Solo,64299,Bali United FC,2.0,2.0,12654062,58.0,42.0,307.0,256.0,255.0,188.0,17.0,6.0,41.0,34.0,20.0,10.0,5.0,2.0,15.0,25.0,2.38,1.94,9.0,0.0,8.0,20.0,0.0,3.0,2.3822109000000005,1.937001,4.8304347826086964,7.0640000000000009,2.3800000000000003,3,3.95,6.7297350343473985,1.9400000000000002,4,D
12654060,2025-03-05,64289,Persib Bandung,135866,Persik Kediri,4.0,1.0,12654060,49.0,51.0,299.0,266.0,244.0,216.0,16.0,8.0,43.0,39.0,6.0,7.0,2.0,0.0,10.0,15.0,1.65,0.87,5.0,3.0,13.0,8.0,3.0,0.0,1.6486279000000001,0.86653700000000011,4.9173913043478263,7.1095419847328243,1.65,8,5.14,6.4488483685220723,0.87,1,H
12654061,2025-03-05,64295,Persija Jakarta,189471,PSIS Semarang,,,12654061,61.0,39.0,441.0,296.0,370.0,239.0,11.0,20.0,43.0,36.0,11.0,20.0,3.0,3.0,22.0,19.0,2.01,1.17,6.0,10.0,12.0,7.0,2.0,0.0,2.005456,1.172839,4.6999999999999993,7.284302325581395,2.02,3,5.9388888888888882,6.72200956937799,1.1800000000000002,0,D
12654063,2025-03-05,383891,Dewa United FC,86066,Semen Padang FC,6.0,0.0,12654063,66.0,34.0,587.0,268.0,532.0,212.0,17.0,10.0,43.0,31.0,11.0,16.0,2.0,1.0,9.0,7.0,2.66,0.01,3.0,4.0,4.0,12.0,1.0,4.0,2.656826,0.00852,5.7799999999999994,7.48232971372162,2.6500000000000004,9,4.1549999999999994,5.9331954498448809,0.01,0,H
12657420,2025-03-04,491968,Malut United FC,47465,Arema FC,2.0,1.0,12657420,55.0,45.0,429.0,374.0,367.0,315.0,9.0,12.0,32.0,36.0,17.0,11.0,3.0,4.0,12.0,15.0,1.69,1.76,0.0,5.0,8.0,6.0,1.0,2.0,1.6865769999999998,1.76278,4.7652173913043478,7.0065686274509815,1.69,3,3.8478260869565215,6.7017733990147788,1.75,2,H
12654059,2025-03-03,204733,PSS Sleman,86542,PS Barito Putera,1.0,2.0,12654059,56.0,44.0,469.0,324.0,411.0,266.0,17.0,15.0,34.0,36.0,16.0,16.0,6.0,1.0,9.0,17.0,0.71,1.43,3.0,1.0,12.0,13.0,0.0,0.0,0.705419,1.427909,4.660869565217391,6.6853307766059453,0.71,2,4.7826086956521738,6.9596727622714152,1.4200000000000002,2,A
